case,label,changed,rms_displacement_px,max_displacement_px,source_path
P5_S5_F0809,thyroid-cartilage,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P5\S5\contours\0809_thyroid-cartilage.npy
P5_S5_F0809,tongue,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P5\S5\contours\0809_tongue.npy
P5_S5_F0809,upper-incisor,True,0.17742298033723056,1.0003688555838928,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P5\S5\contours\0809_upper-incisor.npy
P5_S5_F0809,upper-lip,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P5\S5\contours\0809_upper-lip.npy
P5_S5_F0809,vocal-folds,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P5\S5\contours\0809_vocal-folds.npy
P6_S5_F1117,arytenoid-cartilage,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P6\S5\contours\1117_arytenoid-cartilage.npy
P6_S5_F1117,epiglottis,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P6\S5\contours\1117_epiglottis.npy
P6_S5_F1117,lower-incisor,True,1.0060768286224016,1.1691509377090565,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P6\S5\contours\1117_lower-incisor.npy
P6_S5_F1117,lower-lip,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P6\S5\contours\1117_lower-lip.npy
P6_S5_F1117,pharynx,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P6\S5\contours\1117_pharynx.npy
P6_S5_F1117,soft-palate-midline,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P6\S5\contours\1117_soft-palate-midline.npy
P6_S5_F1117,thyroid-cartilage,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P6\S5\contours\1117_thyroid-cartilage.npy
P6_S5_F1117,tongue,False,1.206313194339134e-06,3.814697265625e-06,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P6\S5\contours\1117_tongue.npy
P6_S5_F1117,upper-incisor,False,1.3742506982134563e-06,2.38188254399e-06,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P6\S5\contours\1117_upper-incisor.npy
P6_S5_F1117,upper-lip,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P6\S5\contours\1117_upper-lip.npy
P6_S5_F1117,vocal-folds,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P6\S5\contours\1117_vocal-folds.npy
P7_S5_F0864,arytenoid-cartilage,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P7\S5\contours\0864_arytenoid-cartilage.npy
P7_S5_F0864,epiglottis,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P7\S5\contours\0864_epiglottis.npy
P7_S5_F0864,lower-incisor,True,0.5823503885349873,2.704549233663328,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P7\S5\contours\0864_lower-incisor.npy
P7_S5_F0864,lower-lip,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P7\S5\contours\0864_lower-lip.npy
P7_S5_F0864,pharynx,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P7\S5\contours\0864_pharynx.npy
P7_S5_F0864,soft-palate-midline,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P7\S5\contours\0864_soft-palate-midline.npy
P7_S5_F0864,thyroid-cartilage,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P7\S5\contours\0864_thyroid-cartilage.npy
P7_S5_F0864,tongue,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P7\S5\contours\0864_tongue.npy
P7_S5_F0864,upper-incisor,False,1.4088424938283458e-06,2.3430714969033983e-06,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P7\S5\contours\0864_upper-incisor.npy
P7_S5_F0864,upper-lip,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P7\S5\contours\0864_upper-lip.npy
P7_S5_F0864,vocal-folds,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P7\S5\contours\0864_vocal-folds.npy
P8_S5_F0792,arytenoid-cartilage,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P8\S5\contours\0792_arytenoid-cartilage.npy
P8_S5_F0792,epiglottis,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P8\S5\contours\0792_epiglottis.npy
P8_S5_F0792,lower-incisor,True,2.1302811214516666,3.352584316801538,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P8\S5\contours\0792_lower-incisor.npy
P8_S5_F0792,lower-lip,True,2.0,2.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P8\S5\contours\0792_lower-lip.npy
P8_S5_F0792,pharynx,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P8\S5\contours\0792_pharynx.npy
P8_S5_F0792,soft-palate-midline,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P8\S5\contours\0792_soft-palate-midline.npy
